video_path,mos
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10636855406_original_centercrop_960x540_8s.mp4,3.88
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10500520233_cut_centercrop_960x540_8s.mp4,2.86
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10838934973_cut_centercrop_960x540_8s.mp4,3.34
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/11061444876_original_centercrop_960x540_8s.mp4,2.16
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/11864752706_original_centercrop_960x540_8s.mp4,3.9
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/11673027224_cut_centercrop_960x540_8s.mp4,3.32
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/11913590004_original_centercrop_960x540_8s.mp4,2.96
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10650618913_original_centercrop_960x540_8s.mp4,1.7
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10609570083_original_centercrop_960x540_8s.mp4,3.1
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10785115855_cut_centercrop_960x540_8s.mp4,2.46
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/11403577283_original_centercrop_960x540_8s.mp4,3.06
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10694139655_original_centercrop_960x540_8s.mp4,1.82
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10102107193_cut_centercrop_960x540_8s.mp4,2.18
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/11540616946_original_centercrop_960x540_8s.mp4,4.08
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/11635304003_cut_centercrop_960x540_8s.mp4,1.74
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10602272313_original_centercrop_960x540_8s.mp4,3.1
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/11383768246_cut_centercrop_960x540_8s.mp4,3.92
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/11435365925_original_centercrop_960x540_8s.mp4,2.6
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10124821225_cut_centercrop_960x540_8s.mp4,3.4
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/11359714186_cut_centercrop_960x540_8s.mp4,2.4
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10403478556_original_centercrop_960x540_8s.mp4,3.68
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10128248563_original_centercrop_960x540_8s.mp4,2.86
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10521676086_original_centercrop_960x540_8s.mp4,2.88
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/11367153336_original_centercrop_960x540_8s.mp4,2.7
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/11617643563_cut_centercrop_960x540_8s.mp4,3.4
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/11535683914_original_centercrop_960x540_8s.mp4,3.94
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10115791113_cut_centercrop_960x540_8s.mp4,3.68
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10053703034_original_centercrop_960x540_8s.mp4,3.46
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10314276135_cut_centercrop_960x540_8s.mp4,3.22
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10149337843_original_centercrop_960x540_8s.mp4,3.94
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10027007645_cut_centercrop_960x540_8s.mp4,3.8
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/11425159465_cut_centercrop_960x540_8s.mp4,2.68
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10838718774_cut_centercrop_960x540_8s.mp4,3.04
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10931366544_original_centercrop_960x540_8s.mp4,3.64
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10406095776_original_centercrop_960x540_8s.mp4,2.62
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10244479353_cut_centercrop_960x540_8s.mp4,4.14
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/11902527296_original_centercrop_960x540_8s.mp4,3.24
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10283826203_cut_centercrop_960x540_8s.mp4,4.14
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10595581344_cut_centercrop_960x540_8s.mp4,4.14
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10019485755_original_centercrop_960x540_8s.mp4,3.7
